Platform,Date ,Day,Time,Meal,Restaurant,City,Type,Food1,Quantity1,Food2,Quantity2,Price,Mode of Payment
Swiggy,1/24/24,Wednesday,23:41,Midnight Snack,La Pinoz,Bhilai,Italian,Pasta,1,,,154,UPI
Zomato,1/25/24,Thursday,14:20,Lunch,Good Bowl,Bhilai,North Indian,Rice Bowl,1,,,161,UPI
Swiggy,1/25/24,Thursday,23:32,Midnight Snack,La Pinoz,Bhilai,Italian,Pasta,1,Garlic Bread,1,224,UPI
Swiggy,2/1/24,Thursday,18:18,Snack,La Pinoz,Bhilai,Italian,Pasta,1,Garlic Bread,1,220,UPI
Swiggy,2/4/24,Sunday,0:24,Midnight Snack,McDonald's,Bhilai,American,Burger,1,Fries,1,212,UPI
Swiggy,2/6/24,Tuesday,22:27,Midnight Snack,Dominos,Bhilai,Mexican,Taco,1,,,315,UPI
Swiggy,2/8/24,Thursday,22:23,Dinner,La Pinoz,Bhilai,"Italian,American",Pasta,1,Garlic Bread,1,196,UPI
Swiggy,2/15/24,Thursday,9:08,Breakfast,Malgudi,Bhilai,South Indian,Vada,1,Dosa,1,130,UPI
Swiggy,2/19/24,Monday,21:39,Dinner,La Pinoz,Bhilai,"Italian,American",Pasta,1,Pizza,1,185,UPI
Swiggy,8/20/24,Tuesday,21:42,Dinner,Dominos,Bhilai,"American,Mexican",Pizza,1,Taco,1,262,UPI
Zomato,8/23/24,Friday,19:43,Dinner,Namaskaram Oota,Bhilai,South Indian,Tomato Rice,1,Dosa,1,124,UPI
Swiggy,8/23/24,Friday,13:22,Lunch,Crossroads,Bhilai,Chinesse,Manchurian,1,Soup,1,252,UPI
Swiggy,8/25/24,Sunday,13:40,Snack,Kauzina Kafe,Bhilai,American,Fries,1,,,125,UPI
Zomato,8/27/24,Tuesday,19:36,Dinner,Namaskaram Oota,Bhilai,South Indian,Dosa,1,Punugulu,1,145,UPI
Swiggy,8/31/24,Saturday,23:20,Dinner,AL Lazees,Bhilai,North Indian,Biriyani,1,,,103,UPI
Swiggy,9/3/24,Tuesday,22:39,Midnight Snack,The Nomads Cafe,Bhilai,Italian,Pasta,1,,,102,UPI
Zomato,9/9/24,Monday,19:21,Snack,Namaskaram Oota,Bhilai,South Indian,Idly,1,Punugulu,1,165,UPI
Zomato,9/14/24,Saturday,18:56,Snack,Namaskaram Oota,Bhilai,South Indian,Dosa,1,Tomato Rice,1,172,COD
Zomato,9/14/24,Saturday,18:58,Dinner,Namaskaram Oota,Bhilai,South Indian,Dosa,1,Tomato Rice,1,154,UPI
Swiggy,9/16/24,Monday,22:20,Dinner,Ramji Khana Khazana,Bhilai,North Indian,Biriyani,1,Roti,1,300,UPI
Swiggy,9/16/24,Monday,13:28,Lunch,90s Cafe,Bhilai,"American, Chinesse",Garlic Bread,1,Fried Rice,1,373,UPI
Swiggy,9/19/24,Thursday,13:06,Lunch,Kailash Parbat,Bhilai,North Indian,Biriyani,1,,,249,UPI
Swiggy,9/20/24,Friday,20:39,Dinner,La Pinoz,Bhilai,Italian,Pasta,1,Garlic Bread,1,197,UPI
Swiggy,9/21/24,Saturday,22:49,Midnight Snack,Cad M Cad B,Bhilai,Chinesse,Sizzler,1,Spring Roll,1,359,UPI
Zomato,9/22/24,Sunday,19:42,Dinner,Namaskaram Oota,Bhilai,South Indian,Dosa,1,Idly,1,293,UPI
Zomato,9/23/24,Monday,21:30,Dinner,Nomads Cafe,Bhilai,Italian,Pasta,1,,,111,UPI
Zomato,9/26/24,Thursday,17:51,Snack,90s Cafe,Bhilai,North Indian,Garlic Rice,1,,,162,UPI
Zomato,9/27/24,Friday,14:25,Lunch,Good Bowl,Bhilai,North Indian,Biriyani,1,,,189,UPI
Zomato,9/30/24,Monday,22:07,Dinner,90s Cafe,Bhilai,Italian,Pasta,1,,,233,UPI
Zomato,10/3/24,Thursday,10:41,Dinner,90s Cafe,Bhilai,Chinesse,Fried Rice,1,,,177,UPI
Zomato,10/4/24,Friday,20:46,Dinner,90s Cafe,Bhilai,North Indian,Pav Bhaji,1,Khichdi,1,243,UPI
Swiggy,10/10/24,Thursday,20:31,Dinner,Idli&Dosa Junction,Bhilai,South Indian,Dosa,1,Idly,1,140,UPI
Swiggy,10/10/24,Thursday,12:45,Lunch,90s Cafe,Bhilai,Italian,Pasta,1,,,173,UPI
Swiggy,10/11/24,Friday,21:13,Dinner,Ramji Khana Khazana,Bhilai,North Indian,Rice,1,Khichdi,1,251,UPI
Zomato,10/13/24,Sunday,19:52,Dinner,Pizza Project,Bhilai,American,Pizza,1,,,168,UPI
Zomato,10/19/24,Saturday,20:09,Dinner,90s Cafe,Bhilai,Italian,Pasta,1,,,233,UPI
Zomato,10/20,Sunday,21:49,Dinner,Namaskaram Oota,Bhilai,South Indian,Dosa,1,Idly,1,156,UPI
Swiggy,10/23/24,Wednesday,14:22,Lunch,Behrouz Biriyani,Bhilai,North Indian,Biriyani,1,,,265,UPI
Zomato,10/26/24,Saturday,21:54,Dinner,Idli&Dosa Junction,Bhilai,South Indian,Idly,1,Dosa,1,156,UPI
Swiggy,10/26/24,Saturday,14:45,Lunch,McDonald's,Bhilai,American,Burger,2,,,186,UPI
Zomato,10/27/24,Sunday,20:34,Dinner,Cad M Cad B,Bhilai,Italian,Pasta,1,,,124,UPI
Zomato,11/4/24,Monday,14:17,Lunch,Idli&Dosa Junction,Bhilai,South Indian,Idly,1,Dosa,1,146,UPI
Swiggy,11/5/24,Tuesday,18:48,Snack,Cad M Cad B,Bhilai,"South Indian, Chinesse",Idly,1,Soup,1,129,UPI
Swiggy,11/9/24,Saturday,21:57,Midnight Snack,Belgian Waffle Co.,Bhilai,Dessert,Waffle,1,Ice Cream,1,349,UPI
Swiggy,11/10/24,Sunday,14:54,Lunch,Unlimited Biriyani,Bhilai,North Indian,Roti,2,Kaju Masala,1,243,UPI
Zomato,11/11/24,Monday,21:57,Dinner,Haldiram's,Bhilai,North Indian,Biriyani,1,,,246,UPI
Swiggy,11/11/24,Monday,22:03,Dinner,Behrouz Biriyani,Bhilai,North Indian,Biriyani,1,,,281,UPI
Swiggy,11/11/24,Monday,11:53,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,262,UPI
Zomato,11/13/24,Wednesday,20:37,Dinner,Cad M Cad B,Bhilai,Italian,Pasta,1,,,233,UPI
Zomato,11/15/24,Friday,13:57,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Zomato,11/18/24,Monday,12:51,Lunch,90s Cafe,Bhilai,Italian,Pasta,1,,,234,UPI
Zomato,11/18/24,Monday,20:50,Dinner,Idli&Dosa Junction,Bhilai,South Indian,Idly,1,Dosa,1,139,UPI
Zomato,11/22/24,Friday,22:20,Dinner,The Nomads Cafe,Bhilai,American,Burger,1,Fries,1,159,UPI
Zomato,11/24/24,Sunday,13:06,Lunch,The Nomads Cafe,Bhilai,American,Burger,1,Garlic Bread,1,180,UPI
Zomato,11/25/24,Monday,14:09,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Zomato,11/27/24,Wednesday,12:30,Lunch,The Nomads Cafe,Bhilai,American,Burger,1,Fries,1,159,UPI
Zomato,11/27/24,Wednesday,20:19,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Zomato,11/28/24,Thursday,18:12,Snack,Belgian Waffle Co.,Bhilai,American,Waffle,1,,,206,UPI
Zomato,11/29/24,Friday,7:02,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,238,UPI
Zomato,11/30/24,Saturday,22:16,Dinner,The Nomads Cafe,Bhilai,North Indian,Fried Rice,1,,,174,UPI
Zomato,12/2/24,Monday,15:46,Snack,The Nomads Cafe,Bhilai,American,Burger,1,Fries,1,159,UPI
Zomato,12/2/24,Monday,20:28,Dinner,90s Cafe,Bhilai,Italian,Pasta,1,,,243,UPI
Zomato,12/3/24,Tuesday,18:47,Dinner,Tiffins By The 90s Cafe,Bhilai,North Indian,Rice Bowl,1,,,177,UPI
Zomato,12/5/24,Thursday,14:53,Lunch,The Nomads Cafe,Bhilai,American,Burger,1,Fries,1,159,UPI
Zomato,12/6/24,Friday,19:33,Dinner,LunchBox,Bhilai,North Indian,Rice Bowl,1,,,184,UPI
Zomato,12/11/24,Wednesday,18:01,Snack,A1 Restaurant,Nellore,North Indian,Manchurian,1,Crispy Corn,1,292,UPI
Swiggy,12/19/24,Thursday,20:59,Midnight Snack,Belgian Waffle Co.,Nellore,Dessert,Waffle,1,,,224,UPI
Swiggy,1/2/25,Thursday,17:37,Snack,The Nomads Cafe,Bhilai,"Chinesse,American",Soup,1,Fries,1,156,UPI
Swiggy,1/3/25,Friday,22:07,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Zomato,1/6/25,Monday,13:16,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,264,UPI
Zomato,1/8/25,Wednesday,21:03,Dinner,90s Cafe,Bhilai,Italian,Pasta,1,,,199,UPI
Zomato,1/9/25,Thursday,14:23,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,264,UPI
Swiggy,1/11/25,Saturday,20:03,Dinner,Real Momo,Bhilai,"American,Chinesse",Fries,1,Noodles,1,193,UPI
Swiggy,1/14/25,Tuesday,14:15,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Swiggy,1/16/25,Thursday,21:30,Lunch,Haldiram's,Bhilai,"North Indian,American",Rice Bowl,1,Fries,1,281,UPI
Swiggy,1/16/25,Thursday,14:53,Lunch,Kaaram Podi,Bhilai,South Indian,Tomato Rice,1,Dosa,1,194,UPI
Swiggy,1/17/25,Friday,21:37,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,268,UPI
Zomato,1/19/25,Sunday,19:37,Dinner,Haldiram's,Bhilai,"North Indian,American",Rice Bowl,1,Fries,1,282,UPI
Swiggy,1/21/25,Tuesday,21:50,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Swiggy,1/23/25,Thursday,22:57,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,281,UPI
Swiggy,1/31/25,Friday,22:36,Dinner,L Pino'z,Bhilai,Italian,Pasta,1,,,189,UPI
Zomato,2/4/25,Tuesday,13:58,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,282,UPI
Zomato,2/10/25,Monday,20:49,Dinner,Haldiram's,Bhilai,"North Indian,American",Rice Bowl,1,Fries,1,282,UPI
Zomato,2/11/25,Tuesday,11:41,Lunch,90s Cafe,Bhilai,"American, Italian",Garlic Bread,1,Pasta,1,299,UPI
